canonical_title,category
Sonata Op. 1,sonata
"24 Preludes Op. 11, No. 13-24",prelude
"3 Etudes, Op. 65",etude
"5 Preludes, Op.15",prelude
"Etude Op. 2 No.1;  Etudes Op. 8, Nos. 5, 11 and 12",etude
"Etude Op. 42, Nos. 4 & 5",etude
"Etude Op. 8, No. 13",etude
"Etude in D-flat Major, Op. 8 No. 10",etude
Etudes from Op.8,etude
"Prelude and Nocturne for Left Hand, Op. 9",prelude
Sonata No. 2,sonata
"Sonata No. 2 in G-sharp Minor, Op. 19",sonata
"Sonata No. 2 in G-sharp Minor, Op. 19 (Complete)",sonata
"Sonata No. 3 in F-sharp Minor, Op. 23",sonata
"Sonata No. 4 in F-sharp Major ,Op.30",sonata
"Sonata No. 5 in F-sharp Minor, Op. 53",sonata
"Sonata No. 5, Op. 53",sonata
Sonata No. 9,sonata
"Sonata No. 9, Op. 68",sonata
"Sonata No. 9, Op. 68, ""Black Mass""",sonata
"Waltz, Op. 38",waltz
Sonata No. 10 in B Minor,sonata
"Sonata No. 1, 2nd, 3rd and 4th movements",sonata
Faust Waltz,waltz
"""Les collines d'Anacapri"" from Preludes, Book I",prelude
"""Voiles"" from Preludes, Book I",prelude
"Etude ""Pour le arpeges composes""",etude
"Etude ""Pour les accords""",etude
"Etude ""Pour les huit doigts""",etude
"Etude No. 6, Book I, ""Pour les huits doigts""",etude
"Etude No. 7 ""Study in Chromatic Steps""",etude
Four Preludes,prelude
"Prelude No. 24 ""Fireworks""",prelude
"Prelude No. 6, Book I, ""Des pas sur la neige""",prelude
"Prelude No. 7, Book II, La terrasse des audiences du clair de lune",prelude
"Preludes Book II: “Feux d'artifice,” L 123, No. 12",prelude
"Preludes No. 2, 6, 12",prelude
"Preludes, Book II, III - La puerta del vino",prelude
"Preludes, Book II, L 123 (Complete)",prelude
"Preludes, Book II, L 123, IV. «Les fées sont d'exquises danseuses»",prelude
"Preludes, Book II, VII - La terasse des audiences du clair de lune",prelude
PreludesBII/7-12,prelude
Three Etudes,etude
"Prelude, Choral et Fugue",prelude
"Prelude, Fugue et Variation, Op. 18, Arrangement Delle Vigne",prelude
"Prélude, chorale, et fugue, M. 21",prelude
Sonata K. 466,sonata
Sonata K. 525,sonata
Sonata K. 54,sonata
"Sonata in A Major, K. 208",sonata
"Sonata in B Minor, K. 197",sonata
"Sonata in B Minor, K. 27",sonata
"Sonata in B Minor, K. 87",sonata
"Sonata in B Minor, L. 33",sonata
"Sonata in C Major, K. 132",sonata
"Sonata in C Major, K. 179",sonata
"Sonata in C Major, K. 513",sonata
"Sonata in C Minor, K. 84",sonata
"Sonata in D Major, K. 118",sonata
"Sonata in D Major, K. 119",sonata
"Sonata in D Major, K. 145",sonata
"Sonata in D Major, K. 430",sonata
"Sonata in D Major, K. 576",sonata
"Sonata in D Major, K. 96 L. 465",sonata
"Sonata in D Major, K96",sonata
"Sonata in D Minor, K. 1",sonata
"Sonata in D Minor, K. 141",sonata
"Sonata in D Minor, K. 213",sonata
"Sonata in D Minor, K. 9",sonata
"Sonata in D Minor, K. 9 L. 413",sonata
"Sonata in F Minor, K. 466",sonata
"Sonata in G Major, K. 146",sonata
"Sonata in G Major, K. 455",sonata
"Sonata, K239",sonata
Two Sonatas,sonata
"Lyric Piece in A Minor, “Waltz,” Op. 12 No. 2",waltz
"Lyric Piece in E Minor, “Waltz,” Op. 38 No. 7",waltz
Etude in A Minor,etude
Scherzo,scherzo
Scherzo from A Midsummer Night's Dream,scherzo
"Scherzo from Mendelssohn's ""Midsummer Night's Dream""",scherzo
"Après une lecture de Dante: Fantasia quasi Sonata, S.161, No. 7",sonata
"Aprés une lecture de Dante: Fantasia quasi Sonata, S.161, No. 7",sonata
"Ballade No. 2 in B Minor, S 171",ballad
"Ballade No. 2 in B Minor, S. 171",ballad
"Concert Etude ""Gnomenreigen""",etude
"Concert Etude ""La Leggierezza""",etude
"Concert Etude ""Un Sospiro""",etude
"Concert Etude ""Waldesrauschen""",etude
"Concert Etude No. 2 ""Gnomenreigen""",etude
"Concert Etude No. 2 La Leggierezza, S. 144",etude
"Concert Etude No. 2, ""Gnomenreigen"", S. 145/2",etude
"Concert Etude No. 2, ""La Leggierezza"", S. 144/2",etude
"Concert Etude No. 2, “La leggierezza"", S. 144",etude
"Concert Etude No. 3 in D-flat Major, ""Un Sospiro"", S. 144/3",etude
Dante Sonata,sonata
"Grandes Etudes de Paganini, S. 141",etude
"Grandes ètudes de Paganini No. 3 ""La Campanella"", S. 141",etude
"Grandes ètudes de Paganini No. 3 La Campanella, S. 141",etude
"Grandes études de Paganini, No. 3 ""La campanella"", S.141/3",etude
Mephisto Waltz,waltz
Mephisto Waltz No. 1,waltz
"Mephisto Waltz No. 1, S.514",waltz
Mephisto-Waltz No. 1,waltz
"Paganini Etude No. 3, S. 141/3 ""La Campanella""",etude
Polonaise in E Major,polonaise
"Sonata In B Minor, S. 178",sonata
Sonata in B Min.,sonata
"Sonata in B Minor, S. 178",sonata
"Transcendental Etude No. 1 ""Prelude""",etude
"Transcendental Etude No. 1, “Preludio""",etude
Transcendental Etude No. 10 in F Minor,etude
"Transcendental Etude No. 10 in F Minor ""Appassionata""",etude
